smiles,expt,calc,atoms,bonds,charges
C(Br)Br,-1.96,-0.405,"c3,br,br,h2,h2","1-2,1-3,1-4,1-5","0.009400,-0.108400,-0.108400,0.103700,0.103700"
CC[C@H](C(C)C)O,-3.88,-2.416,"c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,h1,hc,hc,hc,hc,hc,hc,hc,ho","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-7,3-13,4-5,4-6,4-14,5-15,5-16,5-17,6-18,6-19,6-20,7-21","-0.090100,-0.113400,0.139100,-0.097700,-0.089100,-0.089100,-0.595801,0.035367,0.035367,0.035367,0.045700,0.045700,0.075700,0.046700,0.036700,0.036700,0.036700,0.036700,0.036700,0.036700,0.396000"
CCc1ccccn1,-4.33,-3.31,"c3,c3,ca,ca,ca,ca,ca,nb,hc,hc,hc,hc,hc,ha,ha,ha,h4","1-2,1-9,1-10,1-11,2-3,2-12,2-13,3-4,3-8,4-5,4-14,5-6,5-15,6-7,6-16,7-8,7-17","-0.089100,-0.129700,0.411600,-0.247300,-0.091000,-0.252300,0.398200,-0.664999,0.040033,0.040033,0.040033,0.052700,0.052700,0.141000,0.136000,0.142000,0.020100"
CCCCC(=O)OCC,-2.49,-3.11,"c3,c3,c3,c3,c,o,os,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,hc,hc,hc","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-15,3-16,4-5,4-17,4-18,5-6,5-7,7-8,8-9,8-19,8-20,9-21,9-22,9-23","-0.095100,-0.083400,-0.077400,-0.127400,0.632100,-0.545000,-0.444900,0.138400,-0.126100,0.033700,0.033700,0.033700,0.045200,0.045200,0.056200,0.056200,0.077700,0.077700,0.061700,0.061700,0.048700,0.048700,0.048700"
c1ccc(cc1)S,-2.55,-1.501,"ca,ca,ca,ca,ca,ca,sh,ha,ha,ha,ha,ha,hs","1-2,1-6,1-8,2-3,2-9,3-4,3-10,4-5,4-7,5-6,5-11,6-12,7-13","-0.137000,-0.113000,-0.132000,0.015900,-0.132000,-0.113000,-0.253700,0.134000,0.133500,0.136500,0.136500,0.133500,0.190800"
CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597,"c3,c2,c2,c3,c3,c2,c2,c3,oh,c3,c3,hc,hc,hc,ha,hc,hc,hc,hc,ha,h1,h1,ho,hc,hc,hc,hc,hc,hc","1-2,1-12,1-13,1-14,2-3,2-11,3-4,3-15,4-5,4-16,4-17,5-6,5-18,5-19,6-7,6-10,7-8,7-20,8-9,8-21,8-22,9-23,10-24,10-25,10-26,11-27,11-28,11-29","-0.058900,-0.121400,-0.177200,-0.040200,-0.045200,-0.098400,-0.224200,0.163600,-0.597802,-0.061900,-0.058900,0.040867,0.040867,0.040867,0.122000,0.049700,0.049700,0.046200,0.046200,0.131000,0.050700,0.050700,0.398000,0.043700,0.043700,0.043700,0.040867,0.040867,0.040867"
c1ccc2c(c1)CCC2,-1.46,-1.752,"ca,ca,ca,ca,ca,ca,c5,c5,c5,ha,ha,ha,ha,hc,hc,hc,hc,hc,hc","1-2,1-6,1-10,2-3,2-11,3-4,3-12,4-5,4-9,5-6,5-7,6-13,7-8,7-14,7-15,8-9,8-16,8-17,9-18,9-19","-0.132000,-0.132000,-0.119000,-0.086300,-0.086300,-0.119000,-0.036100,-0.079400,-0.036100,0.129000,0.129000,0.133000,0.133000,0.053700,0.053700,0.043700,0.043700,0.053700,0.053700"
CCOc1ccccc1,-2.22,-2.254,"c3,c3,os,ca,ca,ca,ca,ca,ca,hc,hc,hc,h1,h1,ha,ha,ha,ha,ha","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,4-5,4-9,5-6,5-15,6-7,6-16,7-8,7-17,8-9,8-18,9-19","-0.131100,0.128400,-0.331901,0.128100,-0.181500,-0.098000,-0.166000,-0.098000,-0.181500,0.048367,0.048367,0.048367,0.054200,0.054200,0.142000,0.131000,0.132000,0.131000,0.142000"
c1cc(ccc1O)Br,-5.85,-5.833,"ca,ca,ca,ca,ca,ca,oh,br,ha,ha,ha,ha,ho","1-2,1-6,1-9,2-3,2-10,3-4,3-8,4-5,4-11,5-6,5-12,6-7,7-13","-0.187000,-0.066000,-0.064900,-0.066000,-0.187000,0.138100,-0.493100,-0.088100,0.147500,0.148500,0.148500,0.147500,0.422000"
CCCC(C)(C)C,2.88,2.686,"c3,c3,c3,c3,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-6,4-7,5-15,5-16,5-17,6-18,6-19,6-20,7-21,7-22,7-23","-0.095103,-0.078400,-0.069400,-0.055000,-0.085433,-0.085433,-0.085433,0.032367,0.032367,0.032367,0.038700,0.038700,0.038700,0.038700,0.033589,0.033589,0.033589,0.033589,0.033589,0.033589,0.033589,0.033589,0.033589"
CC(=O)OCCOC(=O)C,-6.34,-8.292,"c3,c,o,os,c3,c3,os,c,o,c3,hc,hc,hc,h1,h1,h1,h1,hc,hc,hc","1-2,1-11,1-12,1-13,2-3,2-4,4-5,5-6,5-14,5-15,6-7,6-16,6-17,7-8,8-9,8-10,10-18,10-19,10-20","-0.150100,0.635101,-0.544000,-0.443900,0.133400,0.133400,-0.443900,0.635101,-0.544000,-0.150100,0.077033,0.077033,0.077033,0.069200,0.069200,0.069200,0.069200,0.077033,0.077033,0.077033"
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644,"c3,c3,os,p5,s,os,c3,c3,ss,c3,ss,p5,s,os,c3,c3,os,c3,c3,hc,hc,hc,h1,h1,h1,h1,hc,hc,hc,h2,h2,h1,h1,hc,hc,hc,h1,h1,hc,hc,hc","1-2,1-20,1-21,1-22,2-3,2-23,2-24,3-4,4-5,4-6,4-9,6-7,7-8,7-25,7-26,8-27,8-28,8-29,9-10,10-11,10-30,10-31,11-12,12-13,12-14,12-17,14-15,15-16,15-32,15-33,16-34,16-35,16-36,17-18,18-19,18-37,18-38,19-39,19-40,19-41","-0.116350,0.149400,-0.496450,0.933198,-0.496000,-0.496450,0.149400,-0.116350,-0.441000,0.337800,-0.441000,0.933198,-0.496000,-0.496450,0.149400,-0.116350,-0.496450,0.149400,-0.116350,0.056617,0.056617,0.056617,0.079200,0.079200,0.079200,0.079200,0.056617,0.056617,0.056617,0.105200,0.105200,0.079200,0.079200,0.056617,0.056617,0.056617,0.079200,0.079200,0.056617,0.056617,0.056617"
C1CCCC(CC1)O,-5.48,-4.345,"c3,c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,h1,hc,hc,hc,hc,ho","1-2,1-7,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-15,4-16,5-6,5-8,5-17,6-7,6-18,6-19,7-20,7-21,8-22","-0.074900,-0.074900,-0.069900,-0.107900,0.139100,-0.107900,-0.069900,-0.600800,0.037200,0.037200,0.037200,0.037200,0.040950,0.040950,0.046450,0.046450,0.073700,0.046450,0.046450,0.040950,0.040950,0.395000"
COC(=O)C1CC1,-4.1,-3.604,"c3,os,c,o,cx,cx,cx,h1,h1,h1,hc,hc,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,3-4,3-5,5-6,5-7,5-11,6-7,6-12,6-13,7-14,7-15","0.126700,-0.436900,0.661099,-0.546000,-0.201700,-0.102400,-0.102400,0.050367,0.050367,0.050367,0.111700,0.084700,0.084700,0.084700,0.084700"
c1ccc(cc1)C#N,-4.1,-3.238,"ca,ca,ca,ca,ca,ca,cg,n1,ha,ha,ha,ha,ha","1-2,1-6,1-9,2-3,2-10,3-4,3-11,4-5,4-7,5-6,5-12,6-13,7-8","-0.107000,-0.135000,-0.091000,-0.019000,-0.091000,-0.135000,0.233800,-0.363800,0.138000,0.140000,0.145000,0.145000,0.140000"
CCCCC#N,-3.52,-2.147,"c3,c3,c3,c3,c1,n1,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-7,1-8,1-9,2-3,2-10,2-11,3-4,3-12,3-13,4-5,4-14,4-15,5-6","-0.094100,-0.085400,-0.075400,-0.024300,0.211700,-0.378801,0.034367,0.034367,0.034367,0.047200,0.047200,0.051200,0.051200,0.073200,0.073200"
CC(C)(C)O,-4.47,-3.288,"c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,ho","1-2,1-6,1-7,1-8,2-3,2-4,2-5,3-9,3-10,3-11,4-12,4-13,4-14,5-15","-0.109100,0.145800,-0.109100,-0.109100,-0.599800,0.042700,0.042700,0.042700,0.042700,0.042700,0.042700,0.042700,0.042700,0.042700,0.397000"
CC(C)C(=O)C(C)C,-2.74,-2.629,"c3,c3,c3,c,o,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-9,1-10,1-11,2-3,2-4,2-12,3-13,3-14,3-15,4-5,4-6,6-7,6-8,6-16,7-17,7-18,7-19,8-20,8-21,8-22","-0.088100,-0.158700,-0.088100,0.570104,-0.540100,-0.158700,-0.088100,-0.088100,0.041033,0.041033,0.041033,0.073700,0.041033,0.041033,0.041033,0.073700,0.041033,0.041033,0.041033,0.041033,0.041033,0.041033"
CCC=O,-3.43,-3.148,"c3,c3,c,o,hc,hc,hc,hc,hc,h4","1-2,1-5,1-6,1-7,2-3,2-8,2-9,3-4,3-10","-0.092100,-0.204400,0.564901,-0.528100,0.040033,0.040033,0.040033,0.073200,0.073200,-0.006800"
CN(C)C=O,-7.81,-6.932,"c3,n,c3,c,o,h1,h1,h1,h1,h1,h1,h5","1-2,1-6,1-7,1-8,2-3,2-4,3-9,3-10,3-11,4-5,4-12","0.085800,-0.498800,0.085800,0.655898,-0.600100,0.040367,0.040367,0.040367,0.040367,0.040367,0.040367,0.029200"
Cc1ccc(cc1)C,-0.8,-0.658,"c3,ca,ca,ca,ca,ca,ca,c3,hc,hc,hc,ha,ha,ha,ha,hc,hc,hc","1-2,1-9,1-10,1-11,2-3,2-7,3-4,3-12,4-5,4-13,5-6,5-8,6-7,6-14,7-15,8-16,8-17,8-18","-0.052800,-0.082300,-0.127500,-0.127500,-0.082300,-0.127500,-0.127500,-0.052800,0.043367,0.043367,0.043367,0.130000,0.130000,0.130000,0.130000,0.043367,0.043367,0.043367"
C=CCC=C,0.93,2.357,"c2,c2,c3,c2,c2,ha,ha,ha,hc,hc,ha,ha,ha","1-2,1-6,1-7,2-3,2-8,3-4,3-9,3-10,4-5,4-11,5-12,5-13","-0.224000,-0.162200,-0.025000,-0.162200,-0.224000,0.111000,0.111000,0.123000,0.053700,0.053700,0.123000,0.111000,0.111000"
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,-7.665,"c3,ca,ca,ca,ca,ca,ca,c3,nu,ca,ca,ca,ca,ca,ca,c,o,oh,hc,hc,hc,ha,ha,ha,hc,hc,hc,hn,ha,ha,ha,ha,ho","1-2,1-19,1-20,1-21,2-3,2-7,3-4,3-22,4-5,4-23,5-6,5-24,6-7,6-9,7-8,8-25,8-26,8-27,9-10,9-28,10-11,10-15,11-12,11-29,12-13,12-30,13-14,13-31,14-15,14-32,15-16,16-17,16-18,18-33","-0.053800,-0.073300,-0.127000,-0.125000,-0.149000,0.098600,-0.056300,-0.056800,-0.626000,0.228600,-0.206000,-0.061000,-0.190000,-0.041000,-0.204600,0.659698,-0.554000,-0.628100,0.046367,0.046367,0.046367,0.134000,0.135000,0.138000,0.051367,0.051367,0.051367,0.439800,0.149000,0.135000,0.140000,0.152000,0.449000"
CN(C)C(=O)c1ccccc1,-9.29,-8.113,"c3,n,c3,c,o,ca,ca,ca,ca,ca,ca,h1,h1,h1,h1,h1,h1,ha,ha,ha,ha,ha","1-2,1-12,1-13,1-14,2-3,2-4,3-15,3-16,3-17,4-5,4-6,6-7,6-11,7-8,7-18,8-9,8-19,9-10,9-20,10-11,10-21,11-22","0.080300,-0.479800,0.080300,0.672698,-0.600100,-0.132600,-0.094500,-0.137000,-0.113000,-0.137000,-0.094500,0.042867,0.042867,0.042867,0.042867,0.042867,0.042867,0.144500,0.137000,0.135000,0.137000,0.144500"
CCNCC,-4.07,-2.986,"c3,c3,n7,c3,c3,hc,hc,hc,h1,h1,hn,h1,h1,hc,hc,hc","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-11,4-5,4-12,4-13,5-14,5-15,5-16","-0.115600,0.158800,-0.820198,0.158800,-0.115600,0.037533,0.037533,0.037533,0.038450,0.038450,0.354800,0.038450,0.038450,0.037533,0.037533,0.037533"
CC(C)(C)c1ccc(cc1)O,-5.91,-5.543,"c3,c3,c3,c3,ca,ca,ca,ca,ca,ca,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,ha,ha,ho","1-2,1-12,1-13,1-14,2-3,2-4,2-5,3-15,3-16,3-17,4-18,4-19,4-20,5-6,5-10,6-7,6-21,7-8,7-22,8-9,8-11,9-10,9-23,10-24,11-25","-0.085767,-0.004700,-0.085767,-0.085767,-0.099300,-0.093000,-0.184500,0.119100,-0.184500,-0.093000,-0.499102,0.036367,0.036367,0.036367,0.036367,0.036367,0.036367,0.036367,0.036367,0.036367,0.135000,0.140500,0.140500,0.135000,0.418000"
CC(C)CCOC=O,-2.13,-3.414,"c3,c3,c3,c3,c3,os,c,o,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,h5","1-2,1-9,1-10,1-11,2-3,2-4,2-12,3-13,3-14,3-15,4-5,4-16,4-17,5-6,5-18,5-19,6-7,7-8,7-20","-0.088600,-0.074700,-0.088600,-0.101400,0.129400,-0.449900,0.631900,-0.542000,0.033700,0.033700,0.033700,0.063700,0.033700,0.033700,0.033700,0.054200,0.054200,0.065700,0.065700,0.078200"
CCCCCCCCCCO,-3.64,-2.446,"c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,ho","1-2,1-12,1-13,1-14,2-3,2-15,2-16,3-4,3-17,3-18,4-5,4-19,4-20,5-6,5-21,5-22,6-7,6-23,6-24,7-8,7-25,7-26,8-9,8-27,8-28,9-10,9-29,9-30,10-11,10-31,10-32,11-33","-0.092100,-0.079400,-0.078400,-0.078400,-0.078400,-0.078400,-0.080400,-0.079400,-0.123400,0.127400,-0.599799,0.032033,0.032033,0.032033,0.038200,0.038200,0.038700,0.038700,0.039700,0.039700,0.039700,0.039700,0.040200,0.040200,0.041200,0.041200,0.038200,0.038200,0.053700,0.053700,0.044200,0.044200,0.397000"
CCC(=O)OCC,-2.68,-3.221,"c3,c3,c,o,os,c3,c3,hc,hc,hc,hc,hc,h1,h1,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-5,5-6,6-7,6-13,6-14,7-15,7-16,7-17","-0.094100,-0.127400,0.629100,-0.544000,-0.444900,0.138400,-0.126100,0.048367,0.048367,0.048367,0.076700,0.076700,0.061700,0.061700,0.049033,0.049033,0.049033"
CCCCCCCCC,3.13,3.221,"c3,c3,c3,c3,c3,c3,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-15,3-16,4-5,4-17,4-18,5-6,5-19,5-20,6-7,6-21,6-22,7-8,7-23,7-24,8-9,8-25,8-26,9-27,9-28,9-29","-0.093599,-0.079400,-0.078400,-0.078400,-0.078400,-0.078400,-0.078400,-0.079400,-0.093599,0.032033,0.032033,0.032033,0.038200,0.038200,0.038700,0.038700,0.039700,0.039700,0.039700,0.039700,0.039700,0.039700,0.038700,0.038700,0.038200,0.038200,0.032033,0.032033,0.032033"
CC(=O)NC,-10.0,-8.276,"c3,c,o,ns,c3,hc,hc,hc,hn,h1,h1,h1","1-2,1-6,1-7,1-8,2-3,2-4,4-5,4-9,5-10,5-11,5-12","-0.169100,0.654098,-0.611100,-0.581900,0.086300,0.065367,0.065367,0.065367,0.319500,0.035367,0.035367,0.035367"
CCCCCCCC=C,2.06,2.995,"c3,c3,c3,c3,c3,c3,c3,c2,c2,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,ha","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-15,3-16,4-5,4-17,4-18,5-6,5-19,5-20,6-7,6-21,6-22,7-8,7-23,7-24,8-9,8-25,9-26,9-27","-0.092100,-0.079400,-0.078400,-0.078400,-0.079400,-0.075400,-0.052200,-0.163200,-0.227999,0.032033,0.032033,0.032033,0.038200,0.038200,0.038700,0.038700,0.039700,0.039700,0.040200,0.040200,0.042200,0.042200,0.046700,0.046700,0.119000,0.110000,0.110000"
c1ccc2cc(ccc2c1)O,-8.11,-7.849,"ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,oh,ha,ha,ha,ha,ha,ha,ha,ho","1-2,1-10,1-12,2-3,2-13,3-4,3-14,4-5,4-9,5-6,5-15,6-7,6-11,7-8,7-16,8-9,8-17,9-10,10-18,11-19","-0.137000,-0.118000,-0.126000,-0.003000,-0.159000,0.120100,-0.194000,-0.080000,-0.067000,-0.107000,-0.497100,0.132000,0.132000,0.135000,0.151000,0.134000,0.135000,0.131000,0.418000"
c1cc(c(cc1Cl)Cl)Cl,-1.12,-0.117,"ca,ca,ca,ca,ca,ca,cl,cl,cl,ha,ha,ha","1-2,1-6,1-10,2-3,2-11,3-4,3-9,4-5,4-8,5-6,5-12,6-7","-0.117000,-0.109000,0.015400,0.024400,-0.114000,0.022400,-0.077400,-0.060400,-0.062400,0.156000,0.157000,0.165000"
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,-18.162,"c3,c3,c3,c3,c3,c3,oh,oh,oh,oh,oh,oh,h1,h1,h1,h1,h1,h1,h1,h1,ho,ho,ho,ho,ho,ho","1-2,1-12,1-13,1-14,2-3,2-11,2-15,3-4,3-10,3-16,4-5,4-9,4-17,5-6,5-8,5-18,6-7,6-19,6-20,7-21,8-22,9-23,10-24,11-25,12-26","0.099900,0.083100,0.075100,0.075100,0.083100,0.099900,-0.601300,-0.592300,-0.612300,-0.612300,-0.592300,-0.601300,0.060200,0.060200,0.088200,0.084200,0.084200,0.088200,0.060200,0.060200,0.408000,0.420500,0.426500,0.426500,0.420500,0.408000"
CCCC(=O)OC,-2.83,-3.552,"c3,c3,c3,c,o,os,c3,hc,hc,hc,hc,hc,hc,hc,h1,h1,h1","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-6,6-7,7-15,7-16,7-17","-0.097100,-0.078400,-0.126400,0.629100,-0.542000,-0.443900,0.125700,0.038033,0.038033,0.038033,0.056200,0.056200,0.077700,0.077700,0.050367,0.050367,0.050367"
c1ccc(c(c1)C=O)O,-4.68,-8.809,"ca,ca,ca,ca,ca,ca,c,o,oh,ha,ha,ha,ha,h4,ho","1-2,1-6,1-10,2-3,2-11,3-4,3-12,4-5,4-9,5-6,5-7,6-13,7-8,7-14,9-15","-0.180000,-0.061000,-0.230000,0.167100,-0.224600,-0.040000,0.585500,-0.539100,-0.498100,0.141000,0.137000,0.138000,0.158000,0.019200,0.427000"
C1CNC1,-5.56,-3.861,"cy,cy,n6,cy,hc,hc,h1,h1,hn,h1,h1","1-2,1-4,1-5,1-6,2-3,2-7,2-8,3-4,3-9,4-10,4-11","-0.122400,0.125800,-0.790200,0.125800,0.055200,0.055200,0.051200,0.051200,0.345800,0.051200,0.051200"
CCCNCCC,-3.65,-2.233,"c3,c3,c3,n7,c3,c3,c3,hc,hc,hc,hc,hc,h1,h1,hn,h1,h1,hc,hc,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-15,5-6,5-16,5-17,6-7,6-18,6-19,7-20,7-21,7-22","-0.094600,-0.102900,0.161300,-0.821200,0.161300,-0.102900,-0.094600,0.033200,0.033200,0.033200,0.045700,0.045700,0.038450,0.038450,0.357800,0.038450,0.038450,0.045700,0.045700,0.033200,0.033200,0.033200"
c1ccc(cc1)N,-5.49,-5.543,"ca,ca,ca,ca,ca,ca,nv,ha,ha,ha,ha,ha,hn,hn","1-2,1-6,1-8,2-3,2-9,3-4,3-10,4-5,4-7,5-6,5-11,6-12,7-13,7-14","-0.173000,-0.093000,-0.191000,0.136600,-0.191000,-0.093000,-0.818200,0.131000,0.129000,0.130000,0.130000,0.129000,0.386800,0.386800"
C(F)(F)(F)F,3.12,2.489,"c3,f,f,f,f","1-2,1-3,1-4,1-5","0.861200,-0.215300,-0.215300,-0.215300,-0.215300"
CC[C@@H](C)CO,-4.42,-2.995,"c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,ho","1-2,1-7,1-8,1-9,2-3,2-10,2-11,3-4,3-5,3-12,4-13,4-14,4-15,5-6,5-16,5-17,6-18","-0.093100,-0.077400,-0.108700,-0.087100,0.129400,-0.600800,0.035033,0.035033,0.035033,0.036200,0.036200,0.063700,0.036367,0.036367,0.036367,0.045200,0.045200,0.397000"
c1ccc(c(c1)O)I,-6.2,-3.221,"ca,ca,ca,ca,ca,ca,oh,i,ha,ha,ha,ha,ho","1-2,1-6,1-9,2-3,2-10,3-4,3-11,4-5,4-8,5-6,5-7,6-12,7-13","-0.073000,-0.170000,-0.066000,-0.009100,0.161100,-0.219000,-0.485100,-0.121900,0.137000,0.139000,0.146000,0.137000,0.424000"
COc1cccc(c1O)OC,-6.96,-7.393,"c3,os,ca,ca,ca,ca,ca,ca,oh,os,c3,h1,h1,h1,ha,ha,ha,ho,h1,h1,h1","1-2,1-12,1-13,1-14,2-3,3-4,3-8,4-5,4-15,5-6,5-16,6-7,6-17,7-8,7-10,8-9,9-18,10-11,11-19,11-20,11-21","0.123200,-0.339400,0.101100,-0.176500,-0.103000,-0.176500,0.101100,0.043100,-0.507098,-0.339400,0.123200,0.047533,0.047533,0.047533,0.145500,0.137000,0.145500,0.437000,0.047533,0.047533,0.047533"
CCC#C,-0.16,0.284,"c3,c3,c1,c1,hc,hc,hc,hc,hc,ha","1-2,1-5,1-6,1-7,2-3,2-8,2-9,3-4,4-10","-0.089100,-0.004300,-0.139100,-0.162500,0.039033,0.039033,0.039033,0.057700,0.057700,0.162501"
